,DP,Proportion,CCG
0,0,0.0437158469945,7
1,0,0.0570652173913,7
2,0,0.0077519379845,7
3,0,0.035,6
4,0,0.0418719211823,6
5,0,0.0386533665835,7
6,0,0.020618556701,7
7,0,0.0131004366812,6
8,0,0.0205128205128,6
9,0,0.0170316301703,7
10,0,0.051724137931,6
11,0,0.0448430493274,6
12,0,0.0214067278287,7
13,0,0.0283687943262,6
14,0,0.0484988452656,6
15,0,0.0459492140266,7
16,0,0.0764872521246,6
17,0,0.0297619047619,6
18,0,0.175141242938,6
19,0,0.0306038047974,6
20,0,0.037037037037,6
21,0,0.116279069767,6
22,0,0.0822784810127,7
23,0,0.0133630289532,6
24,0,0.0327455919395,7
25,0,0.0199004975124,6
26,0,0.154855643045,6
27,0,0.0215311004785,7
28,0,0.0587002096436,6
29,0,0.0552486187845,6
30,0,0.0818363273453,7
31,0,0.0303867403315,6
32,0,0.0228310502283,7
33,0,0.0332409972299,6
34,0,0.027027027027,6
35,0,0.0460921843687,7
36,0,0.0359116022099,7
37,0,0.0451612903226,7
38,0,0.0588235294118,6
39,0,0.0420673076923,7
40,0,0.0534351145038,6
41,0,0.0306748466258,7
42,0,0.0304449648712,6
43,0,0.0138888888889,6
44,0,0.0331325301205,6
45,0,0.00390625,6
46,0,0.0405797101449,6
47,0,0.0403225806452,6
48,0,0.0145631067961,6
49,0,0.0368421052632,7
50,0,0.0376811594203,7
51,0,0.0192307692308,6
52,0,0.0421052631579,7
53,0,0.0233644859813,7
54,0,0.0596026490066,6
55,0,0.0833333333333,6
56,0,0.0131578947368,7
57,0,0.0153846153846,6
58,0,0.025641025641,7
59,0,0.0207468879668,7
60,0,0.0583333333333,6
61,0,0.0371621621622,7
62,0,0.024,7
63,0,0.0561497326203,7
64,0,0.0322580645161,6
65,0,0.0618556701031,7
66,0,0.0288461538462,7
67,0,0.0477941176471,6
68,0,0.0337078651685,6
69,0,0.025,7
70,0,0.175,7
71,0,0.0753768844221,7
72,0,0.0,6
73,0,0.0502512562814,7
74,0,0.0,7
75,0,0.0,6
76,0,0.0,7
77,0,0.0384615384615,41
78,0,0.0840707964602,41
79,0,0.0289855072464,41
80,0,0.0461538461538,41
81,0,0.0569306930693,41
82,0,0.0431893687708,41
83,0,0.102222222222,41
84,0,0.161290322581,41
85,0,0.00471698113208,41
86,0,0.0264317180617,41
87,0,0.0405405405405,41
88,0,0.0360655737705,41
89,0,0.042345276873,41
90,0,0.0191387559809,41
91,0,0.0293333333333,41
92,0,0.0413533834586,41
93,0,0.0388349514563,41
94,0,0.0735785953177,41
95,0,0.0645879732739,41
96,0,0.0197628458498,41
97,0,0.0111111111111,41
98,0,0.0833333333333,41
99,0,0.0266666666667,41
100,0,0.0593525179856,41
101,0,0.0365135453475,41
102,0,0.0266666666667,41
103,0,0.0481481481481,41
104,0,0.0431818181818,41
105,0,0.021875,41
106,0,0.0194805194805,41
107,0,0.0274509803922,41
108,0,0.0169491525424,41
109,0,0.0512048192771,41
110,0,0.0189701897019,41
111,0,0.034965034965,41
112,0,0.0386740331492,41
113,0,0.0187265917603,41
114,0,0.128440366972,41
115,0,0.0485436893204,41
116,0,0.162280701754,41
117,0,0.0764119601329,41
118,0,0.1015625,41
119,0,0.0295358649789,41
120,0,0.150943396226,41
121,0,0.0555555555556,41
122,0,0.0980392156863,41
123,0,0.106666666667,41
124,0,0.157894736842,41
125,0,0.0285714285714,41
126,0,0.0574162679426,41
127,0,0.0909090909091,41
128,0,0.0591715976331,9
129,0,0.0278551532033,9
130,0,0.0624113475177,8
131,0,0.0891089108911,8
132,0,0.0293542074364,9
133,0,0.0100806451613,9
134,0,0.109090909091,10
135,0,0.0919765166341,8
136,0,0.0673684210526,10
137,0,0.0336134453782,9
138,0,0.0287610619469,8
139,0,0.0492170022371,10
140,0,0.0434782608696,9
141,0,0.0993630573248,10
142,0,0.0629496402878,9
143,0,0.0367041198502,10
144,0,0.0483870967742,9
145,0,0.0509209100758,9
146,0,0.0548387096774,10
147,0,0.0297619047619,9
148,0,0.0504385964912,10
149,0,0.0208333333333,10
150,0,0.040625,10
151,0,0.0350877192982,10
152,0,0.0286320254507,10
153,0,0.0855263157895,8
154,0,0.0731707317073,8
155,0,0.0504587155963,10
156,0,0.046875,10
157,0,0.016081871345,8
158,0,0.0539215686275,9
159,0,0.0484581497797,9
160,0,0.0662460567823,9
161,0,0.0251196172249,9
162,0,0.0448833034111,8
163,0,0.0607661822985,10
164,0,0.0664556962025,10
165,0,0.0720188902007,9
166,0,0.0528511821975,9
167,0,0.0132052821128,9
168,0,0.0662251655629,10
169,0,0.0425138632163,9
170,0,0.0751366120219,9
171,0,0.0382775119617,9
172,0,0.03003003003,9
173,0,0.0398550724638,10
174,0,0.0859872611465,10
175,0,0.1125,9
176,0,0.0351648351648,9
177,0,0.0747663551402,10
178,0,0.0981595092025,9
179,0,0.0769230769231,9
180,0,0.0273224043716,9
181,0,0.0193798449612,9
182,0,0.013916500994,9
183,0,0.015873015873,10
184,0,0.109677419355,10
185,0,0.0473684210526,9
186,0,0.152838427948,10
187,0,0.0233918128655,10
188,0,0.0291262135922,9
189,0,0.0290322580645,8
190,0,0.235632183908,10
191,0,0.0322580645161,38
192,0,0.022759601707,38
193,0,0.0472813238771,38
194,0,0.00674157303371,38
195,0,0.0379008746356,38
196,0,0.0606060606061,38
197,0,0.0145454545455,38
198,0,0.0108108108108,38
199,0,0.0194931773879,38
200,0,0.00584795321637,38
201,0,0.00724637681159,38
202,0,0.101052631579,38
203,0,0.00520833333333,38
204,0,0.0322580645161,38
205,0,0.0652528548124,38
206,0,0.0243902439024,38
207,0,0.0121951219512,38
208,0,0.0192307692308,38
209,0,0.0123546511628,38
210,0,0.00469483568075,38
211,0,0.0191897654584,38
212,0,0.0212765957447,38
213,0,0.0162932790224,38
214,0,0.0,38
215,0,0.010152284264,38
216,0,0.0966981132075,37
217,0,0.0172413793103,37
218,0,0.0293577981651,37
219,0,0.043023255814,37
220,0,0.0178926441352,37
221,0,0.0561056105611,37
222,0,0.0487288135593,37
223,0,0.0274509803922,37
224,0,0.047619047619,37
225,0,0.0277349768875,37
226,0,0.0281690140845,37
227,0,0.0158227848101,37
228,0,0.0554528650647,37
229,0,0.0,37
230,0,0.0150943396226,37
231,0,0.0888888888889,37
232,0,0.0267558528428,37
233,0,0.0326295585413,37
234,0,0.0239596469105,37
235,0,0.0331491712707,37
236,0,0.0209125475285,37
237,0,0.0126582278481,37
238,0,0.0111731843575,37
239,0,0.0923076923077,37
240,0,0.0343642611684,37
241,0,0.105540897098,37
242,0,0.0364583333333,37
243,0,0.0360824742268,37
244,0,0.0279329608939,37
