CCG,ppi,ITEMS
06Q,pant,707
06T,lans,14614
06T,omep,80
06T,pant,1029
06V,lans,13028
06V,omep,91
06V,pant,499
06W,lans,10889
06W,omep,29
06W,pant,186
06Y,lans,12498
06Y,omep,98
06Y,pant,445
07G,lans,8904
07G,omep,24
07G,pant,128
07H,lans,10491
07H,omep,62
07H,pant,737
07J,lans,11817
07J,omep,82
07J,pant,1132
07K,lans,8178
07K,omep,93
07K,pant,656
07L,lans,7057
07L,omep,8
07L,pant,207
07M,lans,7145
07M,omep,56
07M,pant,304
07N,lans,4195
07N,omep,24
07N,pant,332
07P,lans,5364
07P,omep,11
07P,pant,183
07Q,lans,4922
07Q,omep,31
07Q,pant,368
07R,lans,2993
07R,omep,16
07R,pant,62
07T,lans,6152
07T,omep,9
07T,pant,97
07V,lans,8356
07V,omep,28
07V,pant,369
07W,lans,10176
07W,omep,41
07W,pant,247
07X,lans,9811
07X,omep,42
07X,pant,232
07Y,lans,4949
07Y,omep,16
07Y,pant,228
08A,lans,4699
08A,omep,18
08A,pant,473
08C,lans,2618
08C,omep,13
08C,pant,156
08D,lans,9033
08D,omep,4
08D,pant,126
08E,lans,4223
08E,omep,24
08E,pant,184
08F,lans,9270
08F,omep,9
08F,pant,198
08G,lans,7273
08G,omep,30
08G,pant,528
08H,lans,3867
08H,omep,16
08H,pant,69
08J,lans,2459
08J,omep,15
08J,pant,98
08K,lans,5780
08K,omep,8
08K,pant,232
08L,lans,4079
08L,omep,19
08L,pant,164
08M,lans,16244
08M,omep,4
08M,pant,468
08N,lans,7468
08N,omep,17
08N,pant,565
08P,lans,2574
08P,omep,10
08P,pant,76
08Q,lans,4665
08Q,omep,9
08Q,pant,298
08R,lans,4848
08R,omep,21
08R,pant,83
08T,lans,4495
08T,omep,17
08T,pant,106
08V,lans,12705
08V,omep,9
08V,pant,152
08W,lans,7096
08W,omep,16
08W,pant,151
08X,lans,5350
08X,omep,49
08X,pant,176
08Y,lans,2220
08Y,omep,10
08Y,pant,115
09A,lans,2401
09A,omep,11
09A,pant,104
09C,lans,3757
09C,omep,54
09C,pant,220
09D,lans,11799
09D,omep,33
09D,pant,339
09E,lans,7530
09E,omep,50
09E,pant,371
09F,lans,5358
09F,omep,30
09F,pant,1249
09G,lans,13645
09G,omep,111
09G,pant,630
09H,lans,4232
09H,omep,24
09H,pant,194
09J,lans,9761
09J,omep,52
09J,pant,347
09L,lans,3801
09L,omep,37
09L,pant,160
09N,lans,3902
09N,omep,43
09N,pant,255
09P,lans,4249
09P,omep,49
09P,pant,1626
09W,lans,11092
09W,omep,42
09W,pant,475
09X,lans,5946
09X,omep,36
09X,pant,802
09Y,lans,9428
09Y,omep,27
09Y,pant,333
10A,lans,5779
10A,omep,66
10A,pant,377
10C,lans,1446
10C,omep,23
10C,pant,146
10D,lans,3814
10D,omep,22
10D,pant,162
10E,lans,6546
10E,omep,32
10E,pant,340
10G,lans,3308
10G,omep,16
10G,pant,264
10H,lans,9040
10H,omep,37
10H,pant,201
10J,lans,3018
10J,omep,52
10J,pant,189
10K,lans,2952
10K,omep,28
10K,pant,151
10L,lans,5754
10L,omep,37
10L,pant,251
10M,lans,1539
10M,omep,19
10M,pant,81
10N,lans,1416
10N,omep,16
10N,pant,211
10Q,lans,11094
10Q,omep,91
10Q,pant,364
10R,lans,3771
10R,omep,26
10R,pant,124
10T,lans,7190
10T,omep,12
10T,pant,371
10V,lans,3436
10V,omep,38
10V,pant,265
10W,lans,1405
10W,omep,10
10W,pant,78
10X,lans,5331
10X,omep,17
10X,pant,175
10Y,lans,7438
10Y,omep,41
10Y,pant,189
11A,lans,14395
11A,omep,77
11A,pant,1447
11C,lans,5369
11C,omep,15
11C,pant,258
11D,lans,2056
11D,omep,26
11D,pant,93
11E,lans,4300
11E,omep,30
11E,pant,175
11H,lans,9494
11H,omep,57
11H,pant,512
11J,lans,22606
11J,omep,130
11J,pant,1108
11M,lans,14305
11M,omep,151
11M,pant,989
11N,lans,8975
11N,omep,200
11N,pant,380
11T,lans,5864
11T,omep,48
11T,pant,154
11X,lans,12823
11X,omep,96
11X,pant,648
12A,lans,3397
12A,omep,57
12A,pant,152
12D,lans,4679
12D,omep,43
12D,pant,790
12F,lans,11544
12F,omep,101
12F,pant,901
13P,lans,21091
13P,omep,92
13P,pant,1383
13T,lans,28777
13T,omep,65
13T,pant,482
99A,lans,22679
99A,omep,111
99A,pant,718
99C,lans,15052
99C,omep,29
99C,pant,275
99D,lans,6909
99D,omep,64
99D,pant,877
99E,lans,11948
99E,omep,40
99E,pant,178
99F,lans,5780
99F,omep,35
99F,pant,102
99G,lans,5081
99G,omep,22
99G,pant,120
99H,lans,6109
99H,omep,50
99H,pant,366
99J,lans,11592
99J,omep,90
99J,pant,1010
99K,lans,5519
99K,omep,35
99K,pant,848
99M,lans,2827
99M,omep,32
99M,pant,495
99N,lans,11327
99N,omep,74
99N,pant,722
99P,lans,20023
99P,omep,158
99P,pant,625
99Q,lans,7615
99Q,omep,67
99Q,pant,217
